date,close
1994-01-03,380.09
1994-01-04,400.54
1994-01-05,421.04
1994-01-06,444.17
1994-01-07,476.39
1994-01-10,495.39
1994-01-11,501.41
1994-01-12,536.43
1994-01-13,561.65
1994-01-14,551.06
1994-01-17,598.05
1994-01-18,605.71
1994-01-19,642.02
1994-01-20,689.67
1994-01-21,689.17
1994-01-24,689.56
1994-01-26,704.93
1994-01-27,684.49
1994-01-28,689.21
1994-01-31,740.55
1994-02-01,826.86
1994-02-02,823.05
1994-02-03,798.35
1994-02-04,821.28
1994-02-07,848.72
1994-02-08,887.98
1994-02-09,904.66
1994-02-10,1000.9
1994-02-11,1035.4
1994-02-16,1035.4
1994-02-17,1040.9
1994-02-18,944.8
1994-02-21,928.5
1994-02-22,1053.6
1994-02-23,1063
1994-02-24,997.9
1994-02-25,1008.3
1994-02-28,1053.8
1994-03-01,1073.3
1994-03-02,1021.4
1994-03-03,1045.7
1994-03-04,1114
1994-03-07,1193.9
1994-03-08,1204.5
1994-03-09,1260.2
1994-03-10,1266.9
1994-03-11,1268.7
1994-03-14,1329.6
1994-03-15,1350.9
1994-03-16,1408.4
1994-03-17,1393.7
1994-03-18,1331.8
1994-03-21,1270.8
1994-03-22,1353.5
1994-03-23,1415.7
1994-03-24,1376.6
1994-03-25,1459
1994-03-28,1469.2
1994-03-29,1440.7
1994-03-30,1515.5
1994-04-04,1355
1994-04-05,1427.9
1994-04-06,1435.5
1994-04-07,1474.8
1994-04-08,1537.4
1994-04-11,1659.5
1994-04-12,1648.8
1994-04-13,1552.7
1994-04-14,1506.2
1994-04-15,1443.4
1994-04-18,1401.1
1994-04-19,1345.6
1994-04-20,1283.8
1994-04-22,1420.2
1994-04-25,1551.6
1994-04-26,1583.8
1994-04-27,1605.1
1994-04-28,1672.7
1994-04-29,1708.4
1994-05-02,1725.6
1994-05-03,1648.3
1994-05-04,1573.8
1994-05-05,1447.8
1994-05-06,1510.3
1994-05-09,1421.7
1994-05-10,1547.9
1994-05-11,1546
1994-05-12,1637.8
1994-05-13,1585.8
1994-05-16,1562.6
1994-05-17,1648.3
1994-05-18,1790.9
1994-05-19,2008.4
1994-05-20,2031.7
1994-05-23,2096.2
1994-05-24,2127.7
1994-05-25,2301.7
1994-05-26,2342.1001
1994-05-27,2349.3999
1994-05-30,2428.3999
1994-05-31,2467.2
1994-06-01,2526.3999
1994-06-03,2695.8999
1994-06-06,2908.6001
1994-06-07,2920.5
1994-06-08,2821.8
1994-06-09,2932.3999
1994-06-10,3020.3999
1994-06-13,2946.8999
1994-06-14,3017.3
1994-06-15,3069.7
1994-06-16,3033.8
1994-06-17,3237.6001
1994-06-20,3237.8
1994-06-21,3127.6001
1994-06-22,3198.5
1994-06-23,3140
1994-06-24,3109.6001
1994-06-27,3372.1001
1994-06-28,3563.5
1994-06-29,3828.3
1994-06-30,3623.1001
1994-07-04,3580.8
1994-07-05,3564.3
1994-07-06,3753.5
1994-07-07,3904.8999
1994-07-08,4051.8999
1994-07-11,4010.8
1994-07-12,3919.7
1994-07-13,3840.8
1994-07-14,4016.5
1994-07-15,4079.8999
1994-07-18,4045.3
1994-07-19,3874.6001
1994-07-20,4038.6001
1994-07-21,4018.3999
1994-07-22,3986.6001
1994-07-25,3993.8999
1994-07-26,4077.2
1994-07-27,4150
1994-07-28,4255.2998
1994-07-29,4201.2998
1994-08-01,4152
1994-08-02,4310.7002
1994-08-03,4392.1001
1994-08-04,4354.8999
1994-08-05,4469.5
1994-08-08,4580.8999
1994-08-09,4558.2002
1994-08-10,4513.2002
1994-08-11,4463.7002
1994-08-12,4547.1001
1994-08-15,4651
1994-08-16,4744.1001
1994-08-17,4968.8999
1994-08-18,5026.5
1994-08-19,5138.2002
1994-08-22,5385.7998
1994-08-23,5303.8999
1994-08-24,5207.7002
1994-08-25,5354.6001
1994-08-26,5214.2998
1994-08-29,5323
1994-08-30,5379.6001
1994-08-31,5329.3999
1994-09-01,5436.8999
1994-09-02,5367.3999
1994-09-05,4804
1994-09-06,4989.7998
1994-09-08,5272.1001
1994-09-09,5351.1001
1994-09-12,5510.8999
1994-09-13,5510.8999
1994-09-14,5476.3999
1994-09-15,5287.3999
1994-09-16,5293.7002
1994-09-19,5291.7998
1994-09-20,5177.2998
1994-09-21,5343.5
1994-09-22,5395.2002
1994-09-23,5453.2002
1994-09-26,5265
1994-09-27,5217.5
1994-09-28,5277
1994-09-29,5442.6001
1994-09-30,5484
1994-10-04,5335.1001
1994-10-05,5166.7998
1994-10-06,4979.3999
1994-10-07,4876.7002
1994-10-10,5032.1001
1994-10-11,4925.8999
1994-10-13,4944.5
1994-10-14,4833.7002
1994-10-17,4784.3999
1994-10-18,4909.6001
1994-10-19,4758.7002
1994-10-20,4724.3999
1994-10-21,4561.8999
1994-10-24,4344
1994-10-25,4543.2998
1994-10-26,4663.7002
1994-10-27,4706.7002
1994-10-28,4927.5
1994-10-31,4797.8999
1994-11-01,4700.7998
1994-11-03,4508
1994-11-04,4666.6001
1994-11-07,4808.7002
1994-11-08,4782.1001
1994-11-09,4885
1994-11-10,4992.5
1994-11-11,4951.8999
1994-11-14,4948.7002
1994-11-16,4989.5
1994-11-17,4873.7002
1994-11-18,4712.3999
1994-11-21,4483.3999
1994-11-22,4494.7998
1994-11-23,4393
1994-11-24,4573.2998
1994-11-25,4398.7002
1994-11-28,4398.7002
1994-11-29,4672
1994-11-30,4656
1994-12-01,4652.2998
1994-12-02,4525.3999
1994-12-05,4631.2998
1994-12-06,4573
1994-12-07,4597.1001
1994-12-08,4768.6001
1994-12-09,4731.2998
1994-12-12,4813.1001
1994-12-13,4835.1001
1994-12-14,4976.7998
1994-12-15,4842.6001
1994-12-16,4917.6001
1994-12-19,4922.8999
1994-12-20,4799
1994-12-21,4495.2002
1994-12-22,4221.2002
1994-12-23,4351.3999
1994-12-26,4278.2002
1994-12-27,4113.7002
1994-12-28,4195.2998
1994-12-29,4353.8999
1995-01-02,4319.1001
1995-01-03,4098
1995-01-04,3967.8999
1995-01-05,4036.6001
1995-01-06,3827.3999
1995-01-09,3627.8
1995-01-10,3270
1995-01-11,3499.1001
1995-01-12,3840.6001
1995-01-13,4103.7998
1995-01-16,4056.3999
1995-01-17,4209.7002
1995-01-18,4078.5
1995-01-19,3809.3679
1995-01-20,3862.3191
1995-01-23,3758.4539
1995-01-24,3840.2571
1995-01-26,3926.8979
1995-01-27,3784.334
1995-01-30,3580.739
1995-01-31,3885.0229
1995-02-01,3989.8281
